word1,word2,pos,simlex_score,top_score_1,top_score_2,edge_overlap,word_overlap,word_jaccard,direct_hit_1in2,direct_hit_2in1,direct_hit_any,bridge_level_min,n_levels_le_13_in_set1,n_levels_le_13_in_set2
story,topic,N,5.0,0.9087,0.9364,0,0,0.0,0,0,0,,1,11
game,fun,N,3.42,0.9677,0.9675,0,0,0.0,0,0,0,,11,8
weekend,week,N,4.0,0.9448,0.9421,0,3,0.083333,0,0,0,,6,8
couple,pair,N,8.33,0.9265,0.9832,2,5,0.083333,0,0,0,,8,5
woman,wife,N,5.72,0.979,0.9684,0,2,0.031746,0,1,1,,7,10
sheep,cattle,N,4.77,0.9784,0.9838,0,0,0.0,0,0,0,,9,8
purse,bag,N,8.33,0.9358,0.9312,0,4,0.037736,0,0,0,,9,15
ceiling,cathedral,N,2.42,0.9681,0.9528,0,0,0.0,0,0,0,,7,6
bean,coffee,N,5.15,0.9595,0.9341,0,0,0.0,0,0,0,,15,10
wood,paper,N,2.88,1.0,0.9499,0,0,0.0,0,0,0,,7,9
top,side,N,1.9,0.9178,0.9565,0,0,0.0,0,0,0,,7,9
crime,fraud,N,5.65,0.9551,0.9496,0,0,0.0,0,0,0,,6,7
pain,harm,N,5.38,0.9852,0.9527,0,0,0.0,0,0,0,,11,9
lover,companion,N,5.97,0.946,0.9595,0,0,0.0,0,0,0,,10,8
evening,dusk,N,7.78,0.9979,0.972,0,0,0.0,0,0,0,,8,6
father,daughter,N,2.62,0.9901,0.944,0,0,0.0,0,0,0,,6,9
wine,liquor,N,7.85,0.9499,0.9571,0,0,0.0,0,0,0,,9,7
cow,goat,N,2.93,0.9502,0.9503,0,0,0.0,0,0,0,,7,7
belief,opinion,N,7.7,0.952,0.9328,0,0,0.0,0,0,0,,11,8
reality,illusion,N,1.42,0.9483,0.9563,0,0,0.0,0,0,0,,9,8
pact,agreement,N,9.02,0.9431,1.0,2,7,0.122807,1,0,1,,10,7
wealth,poverty,N,1.27,0.9474,0.9769,0,0,0.0,0,0,0,,7,8
accident,emergency,N,4.93,0.9376,0.9488,0,2,0.027027,0,0,0,,9,7
battle,conquest,N,7.22,0.9514,0.944,0,0,0.0,0,0,0,,9,7
friend,teacher,N,2.62,1.0,0.9866,0,0,0.0,0,0,0,,8,10
illness,infection,N,6.9,0.9228,0.9568,0,0,0.0,0,0,0,,8,7
game,trick,N,2.32,0.9677,0.9632,0,0,0.0,0,0,0,,11,7
brother,son,N,3.48,0.9887,0.9271,0,0,0.0,0,0,0,,8,5
aunt,nephew,N,3.1,0.9638,0.9398,0,0,0.0,0,0,0,,4,5
worker,mechanic,N,4.92,0.9393,0.9458,0,0,0.0,0,0,0,,8,5
doctor,orthodontist,N,5.58,0.9465,0.9547,0,0,0.0,0,0,0,,9,7
oak,maple,N,6.03,0.9872,0.9505,0,0,0.0,0,0,0,,8,12
bee,queen,N,3.27,0.9499,0.9485,0,0,0.0,0,0,0,,10,11
car,bicycle,N,3.47,0.9492,0.9477,0,0,0.0,0,0,0,,6,10
goal,quest,N,5.83,0.9264,0.9116,0,0,0.0,0,0,0,,10,4
august,month,N,5.53,0.9446,0.9847,0,0,0.0,0,0,0,,9,9
army,squad,N,5.08,0.9698,0.9329,0,0,0.0,0,0,0,,6,8
cloud,weather,N,4.87,0.9875,0.9556,0,0,0.0,0,0,0,,10,8
physician,doctor,N,8.88,0.9576,0.9465,15,22,0.488889,0,1,1,,8,9
canyon,valley,N,6.75,0.944,0.9406,0,2,0.038462,0,0,0,,8,4
river,valley,N,1.67,1.0,0.9406,0,0,0.0,0,0,0,,6,4
sun,sky,N,2.27,0.9584,0.9606,0,0,0.0,0,0,0,,11,6
target,arrow,N,3.25,0.9465,0.9666,0,0,0.0,0,0,0,,8,7
chocolate,pie,N,2.27,0.9479,0.9486,0,0,0.0,0,0,0,,9,8
circumstance,situation,N,7.85,0.9315,0.9433,9,20,0.350877,0,1,1,,8,9
opinion,choice,N,5.43,0.9328,0.9771,0,0,0.0,0,0,0,,8,6
rhythm,melody,N,6.12,0.9592,0.9818,0,0,0.0,0,0,0,,10,8
gut,nerve,N,4.93,0.9241,0.9905,0,0,0.0,0,0,0,,7,8
day,dawn,N,5.47,1.0,0.9879,0,1,0.018519,0,0,0,,11,6
cattle,beef,N,7.03,0.9838,0.947,0,0,0.0,0,0,0,,8,8
doctor,professor,N,4.65,0.9465,0.9507,0,0,0.0,0,0,0,,9,6
arm,vein,N,3.65,0.9436,0.9903,0,0,0.0,0,0,0,,10,8
room,bath,N,3.33,0.9539,0.9813,0,0,0.0,0,0,0,,10,10
corporation,business,N,9.02,0.9544,0.9392,0,0,0.0,0,0,0,,8,9
fun,football,N,1.97,0.9675,0.949,0,0,0.0,0,0,0,,8,8
hill,cliff,N,4.28,0.935,0.9285,0,0,0.0,0,0,0,,4,9
bone,ankle,N,3.82,1.0,0.9361,0,0,0.0,0,0,0,,6,9
apple,candy,N,2.08,0.9437,0.9428,0,0,0.0,0,0,0,,5,9
helper,maid,N,5.58,0.947,0.9338,0,0,0.0,0,0,0,,9,9
leader,manager,N,7.27,0.9472,0.9394,0,0,0.0,0,0,0,,9,8
lemon,tea,N,1.6,0.9591,0.9422,0,0,0.0,0,0,0,,7,11
bee,ant,N,2.78,0.9499,0.9812,0,0,0.0,0,0,0,,10,8
basketball,baseball,N,4.92,0.9726,0.9485,0,1,0.0125,0,0,0,,9,10
rice,bean,N,2.72,0.9427,0.9595,0,0,0.0,0,0,0,,13,15
bed,furniture,N,6.08,0.9806,0.9478,0,0,0.0,0,0,0,,7,9
emotion,passion,N,7.72,0.9582,0.9561,0,0,0.0,0,0,0,,10,9
anarchy,chaos,N,7.93,0.9701,0.9541,0,0,0.0,0,0,0,,6,10
crime,violation,N,7.12,0.9551,0.9378,0,0,0.0,0,0,0,,6,8
machine,engine,N,5.58,0.9462,0.9382,0,0,0.0,0,0,0,,11,12
beach,sea,N,4.68,0.9456,0.955,0,0,0.0,0,0,0,,7,7
alley,bowl,N,1.53,0.919,0.943,0,0,0.0,0,0,0,,6,8
jar,bottle,N,7.83,0.9552,0.9406,0,0,0.0,0,0,0,,7,13
strength,capability,N,5.28,0.9749,0.9208,0,1,0.020408,0,0,0,,6,5
seed,mustard,N,3.48,0.9841,0.9552,0,0,0.0,0,0,0,,10,6
guitar,drum,N,3.78,0.9859,0.9533,0,0,0.0,0,0,0,,10,10
opinion,idea,N,5.7,0.9328,0.9209,0,0,0.0,0,0,0,,8,5
north,west,N,3.63,0.971,0.9918,0,0,0.0,0,0,0,,9,8
diet,salad,N,2.98,0.9308,0.9425,0,0,0.0,0,0,0,,10,10
mother,wife,N,3.02,1.0,0.9684,0,0,0.0,0,0,0,,8,10
dad,mother,N,3.55,0.9505,1.0,0,0,0.0,0,0,0,,6,8
captain,sailor,N,5.0,0.9597,0.9707,0,0,0.0,0,0,0,,7,8
meter,yard,N,5.6,0.951,0.9529,0,0,0.0,0,0,0,,10,8
beer,champagne,N,4.45,0.942,0.9767,0,0,0.0,0,0,0,,9,11
motor,boat,N,2.57,0.974,0.9459,0,0,0.0,0,0,0,,7,12
card,bridge,N,1.97,0.9298,0.9384,0,0,0.0,0,0,0,,16,9
science,psychology,N,4.92,0.9473,0.9806,0,0,0.0,0,0,0,,8,10
sinner,saint,N,1.6,0.9409,0.9371,0,0,0.0,0,0,0,,6,8
destruction,construction,N,0.98,1.0,0.9228,0,0,0.0,0,0,0,,8,8
crowd,bunch,N,7.42,0.9599,0.8947,0,0,0.0,0,0,0,,9,7
beach,reef,N,3.77,0.9456,0.9599,0,0,0.0,0,0,0,,7,7
man,child,N,4.13,0.9682,1.0,0,0,0.0,0,0,0,,8,7
bread,cheese,N,1.95,0.9503,1.0,0,0,0.0,0,0,0,,8,8
champion,winner,N,8.73,0.9604,0.9042,0,2,0.028986,1,0,1,,8,8
celebration,ceremony,N,7.72,0.9415,0.95,0,0,0.0,0,0,0,,7,8
menu,order,N,3.62,0.9337,0.932,0,0,0.0,0,0,0,,12,11
king,princess,N,3.27,0.9605,0.945,0,0,0.0,0,0,0,,6,6
wealth,prestige,N,6.07,0.9474,0.9714,0,0,0.0,0,0,0,,7,7
endurance,strength,N,6.58,0.9373,0.9749,0,0,0.0,0,0,0,,6,6
danger,threat,N,8.78,0.96,0.9416,0,0,0.0,0,0,0,,10,10
god,priest,N,4.5,0.9503,0.9517,0,0,0.0,0,0,0,,8,8
men,fraternity,N,3.13,0.9423,0.9217,0,0,0.0,0,0,0,,7,7
buddy,companion,N,8.65,0.9601,0.9595,0,0,0.0,0,0,0,,8,8
teacher,helper,N,4.28,0.9866,0.947,0,0,0.0,0,0,0,,10,9
body,stomach,N,3.93,0.9879,0.9912,0,0,0.0,0,0,0,,6,7
tongue,throat,N,3.1,0.9925,0.9577,0,0,0.0,0,0,0,,10,9
house,carpet,N,1.38,0.9558,0.9498,0,0,0.0,0,0,0,,10,9
intelligence,skill,N,5.35,0.9646,0.9446,0,0,0.0,0,0,0,,7,12
journey,conquest,N,4.72,0.9022,0.944,0,0,0.0,0,0,0,,9,7
god,prey,N,1.23,0.9503,0.9282,0,0,0.0,0,0,0,,8,10
brother,soul,N,0.97,0.9887,0.96,0,0,0.0,0,0,0,,8,8
adversary,opponent,N,9.05,0.957,0.9485,11,21,0.512195,0,0,0,,8,9
death,catastrophe,N,4.13,0.98,0.9526,0,0,0.0,0,0,0,,10,7
monster,demon,N,6.95,0.9473,0.955,0,0,0.0,0,1,1,12,8,10
day,morning,N,4.87,1.0,0.9503,0,0,0.0,0,0,0,,11,7
man,victor,N,1.9,0.9682,0.9122,0,0,0.0,0,0,0,,8,7
friend,guy,N,3.88,1.0,0.9433,0,3,0.033333,0,0,0,,8,10
song,story,N,3.97,0.9095,0.9087,0,0,0.0,0,0,0,,12,1
ray,sunshine,N,6.83,0.9176,0.9598,0,0,0.0,0,0,0,,8,6
guy,stud,N,5.83,0.9433,0.9532,0,0,0.0,0,0,0,,10,7
chicken,rice,N,1.43,0.9494,0.9427,0,0,0.0,0,0,0,,6,13
box,elevator,N,1.32,0.9347,0.9505,0,0,0.0,0,0,0,,12,8
butter,potato,N,1.22,0.9627,1.0,0,0,0.0,0,0,0,,10,6
apartment,furniture,N,1.28,0.9668,0.9478,0,0,0.0,0,0,0,,6,9
lake,swamp,N,4.92,0.9818,0.9622,0,0,0.0,0,0,0,,6,8
salad,vinegar,N,1.13,0.9425,0.9506,0,0,0.0,0,0,0,,10,10
flower,bulb,N,4.48,0.9792,0.9496,0,0,0.0,0,0,0,,7,8
cloud,mist,N,6.67,0.9875,0.9633,0,0,0.0,0,0,0,,10,9
driver,pilot,N,6.28,0.9338,0.9522,0,0,0.0,0,0,0,,4,7
sugar,honey,N,5.13,0.9879,0.9598,0,0,0.0,0,0,0,,7,9
body,shoulder,N,2.88,0.9879,0.9527,0,0,0.0,0,0,0,,6,9
idea,image,N,3.55,0.9209,0.923,0,0,0.0,0,0,0,,5,8
father,brother,N,4.2,0.9901,0.9887,0,0,0.0,0,0,0,,6,8
moon,planet,N,5.87,0.9907,0.9538,0,0,0.0,0,0,0,,8,9
ball,costume,N,2.32,0.9384,0.9375,0,0,0.0,0,0,0,,10,7
rail,fence,N,5.22,0.9336,0.9483,0,1,0.01087,0,0,0,,12,10
room,bed,N,2.35,0.9539,0.9806,0,0,0.0,0,0,0,,10,7
flower,bush,N,4.25,0.9792,0.9428,0,0,0.0,0,0,0,,7,12
bone,knee,N,4.17,1.0,0.9608,0,0,0.0,0,0,0,,6,10
arm,knee,N,2.75,0.9436,0.9608,0,0,0.0,0,0,0,,10,10
bottom,side,N,2.63,0.9591,0.9565,0,0,0.0,0,0,0,,7,9
vessel,vein,N,5.15,0.9579,0.9903,0,0,0.0,0,0,0,,11,8
cat,rabbit,N,2.37,0.9404,0.9471,0,0,0.0,0,0,0,,7,10
meat,sandwich,N,2.35,0.9457,0.9504,0,0,0.0,0,0,0,,9,5
belief,concept,N,5.08,0.952,0.9551,0,0,0.0,0,0,0,,11,7
intelligence,insight,N,5.9,0.9646,0.9408,0,0,0.0,0,0,0,,7,5
attention,interest,N,7.22,0.9594,0.9719,0,0,0.0,0,0,0,,9,6
attitude,confidence,N,4.35,0.9278,0.9583,0,0,0.0,0,0,0,,7,8
right,justice,N,7.05,0.9936,0.9237,0,0,0.0,0,0,0,,6,10
argument,agreement,N,1.45,0.9391,1.0,0,0,0.0,0,0,0,,9,7
depth,magnitude,N,6.12,0.9616,0.9662,0,0,0.0,0,0,0,,10,6
medium,news,N,3.65,0.9423,0.9251,0,0,0.0,0,0,0,,8,10
winner,candidate,N,2.78,0.9042,0.907,0,0,0.0,0,0,0,,8,13
birthday,date,N,5.08,0.9592,0.9704,0,0,0.0,0,0,0,,7,10
fee,payment,N,7.15,0.918,0.9526,0,2,0.032258,0,0,0,,6,6
bible,hymn,N,5.15,0.9204,0.9441,0,0,0.0,0,0,0,,5,9
exit,doorway,N,5.5,0.9543,0.9166,0,3,0.042857,0,0,0,,7,9
man,sentry,N,3.25,0.9682,0.9229,0,0,0.0,0,0,0,,8,3
aisle,hall,N,6.35,0.9143,0.9648,0,0,0.0,0,0,0,,7,11
whiskey,gin,N,6.28,0.9799,1.0,0,0,0.0,0,0,0,,6,9
blood,marrow,N,3.4,0.9503,0.9441,0,0,0.0,0,0,0,,8,8
oil,mink,N,1.23,0.9461,0.9263,0,0,0.0,0,0,0,,11,7
floor,deck,N,5.55,0.9573,0.9053,0,0,0.0,0,0,0,,6,10
roof,floor,N,2.62,0.9625,0.9573,0,0,0.0,0,0,0,,11,6
door,floor,N,1.67,0.9567,0.9573,0,0,0.0,0,0,0,,10,6
shoulder,head,N,3.42,0.9527,0.9932,0,0,0.0,0,0,0,,9,6
wagon,carriage,N,7.7,0.9444,0.951,0,0,0.0,0,0,0,,9,13
car,carriage,N,5.13,0.9492,0.951,0,0,0.0,0,0,0,,6,13
elbow,ankle,N,3.13,0.9786,0.9361,0,0,0.0,0,0,0,,10,9
wealth,fame,N,4.02,0.9474,0.958,0,0,0.0,0,0,0,,7,8
sorrow,shame,N,4.77,0.9893,0.9531,0,0,0.0,0,0,0,,7,8
administration,management,N,7.25,0.9731,0.9164,0,0,0.0,0,0,0,,8,7
communication,conversation,N,8.02,0.947,0.9424,0,0,0.0,0,0,0,,6,8
pollution,atmosphere,N,4.25,0.9537,0.9913,0,0,0.0,0,0,0,,8,6
anatomy,biology,N,5.33,0.9884,0.9632,0,0,0.0,0,0,0,,9,7
college,profession,N,3.12,0.9496,0.9588,0,0,0.0,0,0,0,,9,9
book,topic,N,2.07,1.0,0.9364,0,0,0.0,0,0,0,,10,11
formula,equation,N,7.95,0.911,0.9301,0,1,0.013158,0,0,0,,9,8
book,information,N,5.0,1.0,0.9592,0,0,0.0,0,0,0,,10,7
boy,partner,N,1.9,0.9313,0.9501,0,0,0.0,0,0,0,,8,7
sky,universe,N,4.68,0.9606,0.9644,0,0,0.0,0,0,0,,6,6
population,people,N,7.68,0.9424,0.9741,0,0,0.0,0,1,1,,11,6
college,class,N,4.13,0.9496,0.9479,0,0,0.0,0,0,0,,9,9
chief,mayor,N,4.85,0.9644,0.9358,0,0,0.0,0,0,0,,9,9
rabbi,minister,N,7.62,0.9712,0.9533,0,0,0.0,0,0,0,,9,6
meter,inch,N,5.08,0.951,0.936,0,0,0.0,0,0,0,,10,5
polyester,cotton,N,5.63,0.9742,0.9632,0,0,0.0,0,0,0,,6,7
lawyer,banker,N,1.88,0.9422,0.925,0,0,0.0,0,0,0,,11,9
violin,instrument,N,6.58,0.9526,0.941,0,2,0.020619,0,0,0,,8,12
camp,cabin,N,4.2,0.9434,0.9537,0,0,0.0,0,0,0,,12,6
pot,appliance,N,2.53,0.9563,0.9143,0,0,0.0,0,0,0,,12,9
linen,fabric,N,7.47,0.9625,0.9589,0,0,0.0,0,0,0,,9,10
whiskey,champagne,N,5.33,0.9799,0.9767,0,0,0.0,0,0,0,,6,11
girl,child,N,5.38,0.9076,1.0,0,0,0.0,1,0,1,,9,7
cottage,cabin,N,7.72,0.9656,0.9537,0,0,0.0,0,0,0,,7,6
bird,hen,N,7.03,0.9865,0.9561,0,0,0.0,0,0,0,,7,8
racket,noise,N,8.1,0.9026,0.938,0,0,0.0,0,0,0,,10,13
sunset,evening,N,5.98,0.9782,0.9979,0,0,0.0,0,0,0,,7,8
drizzle,rain,N,9.17,0.9626,0.9532,0,0,0.0,0,0,0,,7,7
adult,baby,N,2.22,0.9871,0.9256,0,0,0.0,0,0,0,,10,8
charcoal,coal,N,7.63,0.9694,0.991,0,0,0.0,0,0,0,,8,9
body,spine,N,4.78,0.9879,0.9732,0,0,0.0,0,0,0,,6,8
head,nail,N,2.47,0.9932,0.9635,0,0,0.0,0,0,0,,6,9
log,timber,N,8.05,0.9566,0.9508,0,0,0.0,0,0,0,,8,9
spoon,cup,N,2.02,0.9661,0.9459,0,1,0.012987,0,0,0,,9,12
body,nerve,N,3.13,0.9879,0.9905,0,0,0.0,0,0,0,,6,8
man,husband,N,5.32,0.9682,0.9409,0,0,0.0,0,0,0,,8,8
bone,neck,N,2.53,1.0,0.9593,0,0,0.0,0,0,0,,6,8
frustration,anger,N,6.5,0.9399,0.9566,0,2,0.030303,0,0,0,,7,7
river,sea,N,5.72,1.0,0.955,0,0,0.0,0,0,0,,6,7
task,job,N,8.87,0.9416,0.9133,0,0,0.0,0,0,0,,8,15
club,society,N,5.23,0.9406,0.9656,0,0,0.0,0,0,0,,11,8
reflection,image,N,7.27,0.9642,0.923,0,0,0.0,0,0,0,,7,8
prince,king,N,5.92,0.9545,0.9605,0,0,0.0,0,0,0,,6,6
snow,weather,N,5.48,0.9702,0.9556,0,0,0.0,0,0,0,,10,8
people,party,N,2.2,0.9741,0.9344,0,0,0.0,0,0,0,,6,13
boy,brother,N,6.67,0.9313,0.9887,0,0,0.0,0,0,0,,8,8
root,grass,N,3.55,0.9564,0.9495,0,0,0.0,0,0,0,,7,9
brow,eye,N,3.82,0.9526,0.958,0,0,0.0,0,0,0,,9,7
money,pearl,N,2.1,1.0,0.9811,0,0,0.0,0,0,0,,7,9
money,diamond,N,3.42,1.0,0.9483,0,0,0.0,0,0,0,,7,8
vehicle,bus,N,6.47,0.9552,0.9407,0,0,0.0,0,0,0,,12,7
cab,bus,N,5.6,0.95,0.9407,0,0,0.0,0,0,0,,8,7
house,barn,N,4.33,0.9558,0.976,0,0,0.0,0,0,0,,10,5
finger,palm,N,3.33,0.9462,0.929,0,0,0.0,0,0,0,,10,9
car,bridge,N,0.95,0.9492,0.9384,0,0,0.0,0,0,0,,6,9
effort,difficulty,N,4.45,0.9279,0.9614,0,0,0.0,0,0,0,,7,6
fact,insight,N,4.77,0.9292,0.9408,0,0,0.0,0,0,0,,12,5
job,management,N,3.97,0.9133,0.9164,0,0,0.0,0,0,0,,15,7
cancer,sickness,N,7.93,0.9591,0.963,0,0,0.0,0,0,0,,10,6
word,newspaper,N,2.47,0.9867,0.9349,0,0,0.0,0,0,0,,7,8
composer,writer,N,6.58,0.9233,0.9276,0,0,0.0,0,0,0,,8,12
actor,singer,N,4.52,0.9196,0.9463,0,0,0.0,0,0,0,,7,6
shelter,hut,N,6.47,0.9486,0.9518,0,0,0.0,0,0,0,,9,8
bathroom,kitchen,N,3.1,0.9566,0.9377,0,0,0.0,0,0,0,,8,9
cabin,hut,N,6.53,0.9537,0.9518,0,0,0.0,0,0,0,,6,8
door,kitchen,N,1.67,0.9567,0.9377,0,0,0.0,0,0,0,,10,9
value,belief,N,7.07,0.9106,0.952,0,0,0.0,0,0,0,,11,11
wisdom,intelligence,N,7.47,0.9916,0.9646,0,0,0.0,0,0,0,,7,7
ignorance,intelligence,N,1.5,0.9671,0.9646,0,0,0.0,0,0,0,,8,7
happiness,luck,N,2.38,0.9519,0.9556,0,0,0.0,0,0,0,,9,8
idea,scheme,N,6.75,0.9209,0.9229,0,0,0.0,0,0,0,,5,7
mood,emotion,N,8.12,0.9523,0.9582,0,0,0.0,0,0,0,,9,10
happiness,peace,N,6.03,0.9519,0.9406,0,0,0.0,0,0,0,,9,9
despair,misery,N,7.22,0.9461,0.9417,0,2,0.028169,0,0,0,,10,9
logic,arithmetic,N,3.97,0.9547,0.9494,0,0,0.0,0,0,0,,7,7
denial,confession,N,1.03,0.9751,0.944,0,0,0.0,0,0,0,,10,11
argument,criticism,N,5.08,0.9391,0.9369,0,0,0.0,0,0,0,,9,10
aggression,hostility,N,8.48,0.9666,0.9714,0,3,0.053571,1,0,1,,7,7
hysteria,confusion,N,6.33,0.9902,0.9805,0,0,0.0,0,0,0,,8,8
chemistry,theory,N,3.17,0.947,0.9477,0,0,0.0,0,0,0,,12,8
trial,verdict,N,3.33,0.9441,0.9417,0,0,0.0,0,0,0,,11,9
comfort,safety,N,5.8,0.9371,0.9335,0,0,0.0,0,0,0,,8,11
confidence,self,N,3.12,0.9583,1.0,0,0,0.0,0,0,0,,8,6
vision,perception,N,6.88,0.989,0.9908,0,2,0.03125,0,0,0,,7,10
era,decade,N,5.4,0.9377,0.9539,0,0,0.0,0,0,0,,7,7
biography,fiction,N,1.38,0.9436,0.9426,0,0,0.0,0,0,0,,8,6
discussion,argument,N,5.48,0.9378,0.9391,0,2,0.027778,0,0,0,,10,9
code,symbol,N,6.03,0.9324,0.9515,0,0,0.0,0,0,0,,8,7
danger,disease,N,3.0,0.96,0.9842,0,0,0.0,0,0,0,,10,13
accident,catastrophe,N,5.9,0.9376,0.9526,0,0,0.0,0,0,0,,9,7
journey,trip,N,8.88,0.9022,0.9068,2,5,0.045045,0,1,1,,9,13
activity,movement,N,7.15,0.9476,0.9759,0,0,0.0,0,0,0,,7,10
gossip,news,N,5.22,0.9574,0.9251,0,0,0.0,0,0,0,,8,10
father,god,N,3.57,0.9901,0.9503,0,0,0.0,0,0,0,,6,8
action,course,N,5.45,0.9407,0.894,0,0,0.0,0,0,0,,9,8
fever,illness,N,7.65,0.955,0.9228,0,0,0.0,0,0,0,,7,8
aviation,flight,N,8.18,0.9554,0.9761,1,2,0.031746,0,0,0,,9,7
game,action,N,4.85,0.9677,0.9407,0,0,0.0,0,0,0,,11,9
molecule,air,N,3.05,0.968,0.9813,0,0,0.0,0,0,0,,10,8
home,state,N,2.58,1.0,0.9177,0,0,0.0,0,0,0,,8,6
word,literature,N,4.77,0.9867,0.9492,0,0,0.0,0,0,0,,7,9
adult,guardian,N,6.9,0.9871,0.9475,0,0,0.0,0,0,0,,10,6
newspaper,information,N,5.65,0.9349,0.9592,0,0,0.0,0,0,0,,8,7
communication,television,N,5.6,0.947,0.9533,0,0,0.0,0,0,0,,6,10
cousin,uncle,N,4.63,0.9604,0.9559,0,0,0.0,0,0,0,,7,7
author,reader,N,1.6,0.9849,0.9295,0,0,0.0,0,0,0,,8,9
guy,partner,N,3.57,0.9433,0.9501,0,0,0.0,0,0,0,,10,7
area,corner,N,2.07,0.9257,0.9323,0,0,0.0,0,0,0,,7,8
ballad,song,N,7.53,0.9354,0.9095,0,2,0.022727,0,0,0,,9,12
wall,decoration,N,2.62,0.9507,0.9509,0,0,0.0,0,0,0,,12,7
word,page,N,2.92,0.9867,0.9403,0,0,0.0,0,0,0,,7,8
nurse,scientist,N,2.08,0.9428,0.9441,0,0,0.0,0,0,0,,9,9
politician,president,N,7.38,0.9455,0.9133,0,0,0.0,0,0,0,,8,9
president,mayor,N,5.68,0.9133,0.9358,0,0,0.0,0,0,0,,9,9
book,essay,N,4.72,1.0,0.939,0,0,0.0,0,0,0,,10,10
man,warrior,N,4.72,0.9682,0.9574,0,0,0.0,0,0,0,,8,7
article,journal,N,6.18,0.9772,0.9395,0,0,0.0,0,0,0,,9,10
breakfast,supper,N,4.4,0.9872,0.9569,0,0,0.0,0,0,0,,9,9
crowd,parade,N,3.93,0.9599,0.9558,0,0,0.0,0,0,0,,9,7
aisle,hallway,N,6.75,0.9143,0.9029,0,0,0.0,0,0,0,,7,8
teacher,rabbi,N,4.37,0.9866,0.9712,0,0,0.0,0,0,0,,10,9
hip,lip,N,1.43,0.9597,0.9896,0,0,0.0,0,0,0,,10,6
book,article,N,5.43,1.0,0.9772,0,0,0.0,0,0,0,,10,9
room,cell,N,4.58,0.9539,0.9539,0,0,0.0,0,0,0,,10,11
box,booth,N,3.8,0.9347,0.9474,0,0,0.0,0,0,0,,12,8
daughter,kid,N,4.17,0.944,0.9537,0,0,0.0,0,0,0,,9,7
limb,leg,N,6.9,0.9656,0.9445,0,5,0.061728,0,1,1,,6,12
liver,lung,N,2.7,0.9686,0.9661,0,0,0.0,0,0,0,,10,7
classroom,hallway,N,2.0,0.9645,0.9029,0,2,0.022222,0,0,0,,9,8
mountain,ledge,N,3.73,0.9324,0.9117,0,0,0.0,0,0,0,,7,7
car,elevator,N,1.03,0.9492,0.9505,0,0,0.0,0,0,0,,6,8
bed,couch,N,3.42,0.9806,0.9502,0,0,0.0,0,0,0,,7,9
clothes,button,N,2.3,1.0,0.9336,0,0,0.0,0,0,0,,7,11
clothes,coat,N,5.35,1.0,0.946,0,0,0.0,0,0,0,,7,8
kidney,organ,N,6.17,0.9899,0.9577,0,0,0.0,0,0,0,,10,9
apple,sauce,N,1.43,0.9437,0.9344,0,0,0.0,0,0,0,,5,12
chicken,steak,N,3.73,0.9494,0.9439,0,0,0.0,0,0,0,,6,14
car,hose,N,0.87,0.9492,0.9544,0,0,0.0,0,0,0,,6,10
tobacco,cigarette,N,7.5,1.0,0.9878,0,7,0.162791,0,0,0,,9,7
student,professor,N,1.95,0.953,0.9507,0,0,0.0,0,0,0,,6,6
baby,daughter,N,5.0,0.9256,0.944,0,0,0.0,0,0,0,,8,9
pipe,cigar,N,6.03,0.9473,0.9475,0,0,0.0,0,0,0,,14,11
milk,juice,N,4.05,0.9983,0.9415,0,0,0.0,0,0,0,,7,8
box,cigar,N,1.25,0.9347,0.9475,0,0,0.0,0,0,0,,12,11
apartment,hotel,N,3.33,0.9668,0.9284,0,0,0.0,0,0,0,,6,12
cup,cone,N,3.17,0.9459,0.9567,0,0,0.0,0,0,0,,12,3
horse,ox,N,3.02,1.0,0.9474,0,0,0.0,0,0,0,,7,7
throat,nose,N,2.8,0.9577,0.9662,0,0,0.0,0,0,0,,9,9
bone,teeth,N,4.17,1.0,0.9873,0,0,0.0,0,0,0,,6,9
bone,elbow,N,3.78,1.0,0.9786,0,0,0.0,0,0,0,,6,10
bacon,bean,N,1.22,0.9549,0.9595,0,0,0.0,0,0,0,,8,15
cup,jar,N,5.13,0.9459,0.9552,0,0,0.0,0,0,0,,12,7
proof,fact,N,7.3,0.9516,0.9292,0,0,0.0,0,0,0,,9,12
appointment,engagement,N,6.75,0.9413,0.9554,0,0,0.0,0,0,0,,5,7
birthday,year,N,1.67,0.9592,0.9402,0,0,0.0,0,0,0,,7,7
word,clue,N,2.53,0.9867,0.9296,0,0,0.0,0,0,0,,7,11
author,creator,N,8.02,0.9849,0.9367,0,0,0.0,0,0,0,,8,6
atom,carbon,N,3.1,0.9618,0.9695,0,0,0.0,0,0,0,,7,9
archbishop,bishop,N,7.05,0.9548,0.9556,0,0,0.0,0,0,0,,8,6
letter,paragraph,N,4.0,0.958,0.9446,0,0,0.0,0,0,0,,7,6
page,paragraph,N,3.03,0.9403,0.9446,0,5,0.090909,0,1,1,,8,6
steeple,chapel,N,7.08,0.9294,0.9488,0,0,0.0,0,0,0,,4,7
muscle,bone,N,3.65,0.9824,1.0,0,0,0.0,0,0,0,,6,6
muscle,tongue,N,5.0,0.9824,0.9925,0,0,0.0,0,0,0,,6,10
boy,soldier,N,2.15,0.9313,0.9611,0,0,0.0,0,0,0,,8,11
belly,abdomen,N,8.13,0.96,0.9702,6,12,0.2,0,1,1,,6,7
